Using backend: pytorch
Namespace(dataset='Citeseer', dropout=0.75, early_stopping=100, epochs=200, gpu=0, hid_dim=16, lamb=0.0005, lr=0.01, num_layers=1, num_stacks=2)
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Model params:  238004
Accuracy & Loss:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.1417 | Train Loss 1.7932 | Val Acc 0.1560 | Val loss 1.7933:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.8500 | Train Loss 0.6097 | Val Acc 0.4220 | Val loss 1.4724:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.8250 | Train Loss 0.6735 | Val Acc 0.4520 | Val loss 1.4279:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.7667 | Train Loss 0.6673 | Val Acc 0.4500 | Val loss 1.4234:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.8500 | Train Loss 0.6071 | Val Acc 0.4260 | Val loss 1.5438:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.8167 | Train Loss 0.6261 | Val Acc 0.4240 | Val loss 1.4784:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.8583 | Train Loss 0.5899 | Val Acc 0.4440 | Val loss 1.5027:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.8583 | Train Loss 0.6040 | Val Acc 0.4080 | Val loss 1.4948:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.8417 | Train Loss 0.6495 | Val Acc 0.4200 | Val loss 1.5175:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.7833 | Train Loss 0.6879 | Val Acc 0.4540 | Val loss 1.4859:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.8333 | Train Loss 0.6238 | Val Acc 0.4500 | Val loss 1.4791:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.8333 | Train Loss 0.6663 | Val Acc 0.4480 | Val loss 1.4836:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.7917 | Train Loss 0.6072 | Val Acc 0.4640 | Val loss 1.4288:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.8250 | Train Loss 0.6081 | Val Acc 0.4540 | Val loss 1.4413:  78%|███████▊  | 155/200 [00:01<00:00, 112.98it/s]
Train Acc 0.8250 | Train Loss 0.6081 | Val Acc 0.4540 | Val loss 1.4413:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.8333 | Train Loss 0.6064 | Val Acc 0.4200 | Val loss 1.5804:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.8083 | Train Loss 0.6114 | Val Acc 0.4620 | Val loss 1.4172:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.8833 | Train Loss 0.4737 | Val Acc 0.4500 | Val loss 1.4663:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.8250 | Train Loss 0.6540 | Val Acc 0.4580 | Val loss 1.4772:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.7917 | Train Loss 0.5938 | Val Acc 0.4320 | Val loss 1.4629:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.8667 | Train Loss 0.5935 | Val Acc 0.4100 | Val loss 1.5131:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.8417 | Train Loss 0.5596 | Val Acc 0.4460 | Val loss 1.4654:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.8000 | Train Loss 0.5792 | Val Acc 0.4600 | Val loss 1.4649:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.7833 | Train Loss 0.6069 | Val Acc 0.4580 | Val loss 1.5165:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.8500 | Train Loss 0.5572 | Val Acc 0.4260 | Val loss 1.5175:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.8250 | Train Loss 0.6170 | Val Acc 0.4560 | Val loss 1.4581:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.8917 | Train Loss 0.5389 | Val Acc 0.4580 | Val loss 1.4654:  84%|████████▎ | 167/200 [00:01<00:00, 113.63it/s]
Train Acc 0.8917 | Train Loss 0.5389 | Val Acc 0.4580 | Val loss 1.4654:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.8417 | Train Loss 0.5217 | Val Acc 0.4380 | Val loss 1.5025:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.8417 | Train Loss 0.5956 | Val Acc 0.4160 | Val loss 1.4776:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.7667 | Train Loss 0.6443 | Val Acc 0.4120 | Val loss 1.5373:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.8250 | Train Loss 0.5689 | Val Acc 0.4660 | Val loss 1.4022:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.8250 | Train Loss 0.6208 | Val Acc 0.4480 | Val loss 1.4858:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.8500 | Train Loss 0.5948 | Val Acc 0.4420 | Val loss 1.4577:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.8667 | Train Loss 0.5713 | Val Acc 0.4920 | Val loss 1.3877:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.7667 | Train Loss 0.6906 | Val Acc 0.4720 | Val loss 1.4028:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.8250 | Train Loss 0.6343 | Val Acc 0.4480 | Val loss 1.4167:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.8417 | Train Loss 0.5544 | Val Acc 0.4620 | Val loss 1.4391:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.8250 | Train Loss 0.6486 | Val Acc 0.4680 | Val loss 1.4587:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.8417 | Train Loss 0.5827 | Val Acc 0.4720 | Val loss 1.4229:  90%|████████▉ | 179/200 [00:01<00:00, 114.15it/s]
Train Acc 0.8417 | Train Loss 0.5827 | Val Acc 0.4720 | Val loss 1.4229:  96%|█████████▌| 191/200 [00:01<00:00, 113.72it/s]
Train Acc 0.8667 | Train Loss 0.5402 | Val Acc 0.4660 | Val loss 1.4283:  96%|█████████▌| 191/200 [00:01<00:00, 113.72it/s]
Train Acc 0.8333 | Train Loss 0.5825 | Val Acc 0.4420 | Val loss 1.4678:  96%|█████████▌| 191/200 [00:01<00:00, 113.72it/s]
Train Acc 0.8250 | Train Loss 0.6539 | Val Acc 0.4440 | Val loss 1.4793:  96%|█████████▌| 191/200 [00:01<00:00, 113.72it/s]
Train Acc 0.8750 | Train Loss 0.5190 | Val Acc 0.4720 | Val loss 1.4347:  96%|█████████▌| 191/200 [00:01<00:00, 113.72it/s]
Train Acc 0.8750 | Train Loss 0.5778 | Val Acc 0.4500 | Val loss 1.4518:  96%|█████████▌| 191/200 [00:01<00:00, 113.72it/s]
Train Acc 0.8167 | Train Loss 0.5993 | Val Acc 0.4420 | Val loss 1.5206:  96%|█████████▌| 191/200 [00:01<00:00, 113.72it/s]
Train Acc 0.8250 | Train Loss 0.6144 | Val Acc 0.4480 | Val loss 1.5054:  96%|█████████▌| 191/200 [00:01<00:00, 113.72it/s]
Train Acc 0.8250 | Train Loss 0.6050 | Val Acc 0.4380 | Val loss 1.5163:  96%|█████████▌| 191/200 [00:01<00:00, 113.72it/s]
Train Acc 0.8250 | Train Loss 0.5953 | Val Acc 0.4260 | Val loss 1.5154:  96%|█████████▌| 191/200 [00:01<00:00, 113.72it/s]
Train Acc 0.8250 | Train Loss 0.5953 | Val Acc 0.4260 | Val loss 1.5154: 100%|██████████| 200/200 [00:01<00:00, 112.08it/s]
Test Acc 0.7220
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Model params:  238004

Accuracy & Loss:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.1917 | Train Loss 1.7918 | Val Acc 0.1480 | Val loss 1.7924:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2083 | Train Loss 1.7882 | Val Acc 0.1580 | Val loss 1.7918:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2083 | Train Loss 1.7804 | Val Acc 0.1640 | Val loss 1.7917:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2167 | Train Loss 1.7780 | Val Acc 0.1440 | Val loss 1.7951:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2417 | Train Loss 1.7796 | Val Acc 0.1140 | Val loss 1.7982:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.3000 | Train Loss 1.7664 | Val Acc 0.1240 | Val loss 1.7960:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2750 | Train Loss 1.7796 | Val Acc 0.1600 | Val loss 1.7982:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.3083 | Train Loss 1.7450 | Val Acc 0.1460 | Val loss 1.7903:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2833 | Train Loss 1.7406 | Val Acc 0.1760 | Val loss 1.7821:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2667 | Train Loss 1.7407 | Val Acc 0.1940 | Val loss 1.7832:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2417 | Train Loss 1.7502 | Val Acc 0.1820 | Val loss 1.7904:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2417 | Train Loss 1.7502 | Val Acc 0.1820 | Val loss 1.7904:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.3500 | Train Loss 1.7204 | Val Acc 0.2200 | Val loss 1.7760:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.2583 | Train Loss 1.7060 | Val Acc 0.2160 | Val loss 1.7772:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.3583 | Train Loss 1.6944 | Val Acc 0.1860 | Val loss 1.7853:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.3083 | Train Loss 1.6956 | Val Acc 0.2000 | Val loss 1.7750:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.2917 | Train Loss 1.7076 | Val Acc 0.2060 | Val loss 1.7714:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.3583 | Train Loss 1.6722 | Val Acc 0.2200 | Val loss 1.7711:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.3583 | Train Loss 1.6616 | Val Acc 0.2000 | Val loss 1.7739:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.3750 | Train Loss 1.6791 | Val Acc 0.2320 | Val loss 1.7716:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.3583 | Train Loss 1.6269 | Val Acc 0.2100 | Val loss 1.7649:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.4333 | Train Loss 1.5964 | Val Acc 0.1940 | Val loss 1.7721:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.4250 | Train Loss 1.6328 | Val Acc 0.1880 | Val loss 1.7603:   6%|▌         | 11/200 [00:00<00:01, 104.43it/s]
Train Acc 0.4250 | Train Loss 1.6328 | Val Acc 0.1880 | Val loss 1.7603:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.4917 | Train Loss 1.5464 | Val Acc 0.2240 | Val loss 1.7585:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.3833 | Train Loss 1.6012 | Val Acc 0.2440 | Val loss 1.7486:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.4667 | Train Loss 1.5938 | Val Acc 0.2140 | Val loss 1.7772:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.4083 | Train Loss 1.5859 | Val Acc 0.2160 | Val loss 1.7795:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.4917 | Train Loss 1.5249 | Val Acc 0.2260 | Val loss 1.7641:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.4583 | Train Loss 1.5379 | Val Acc 0.2760 | Val loss 1.7440:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.4667 | Train Loss 1.5510 | Val Acc 0.2440 | Val loss 1.7539:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.4833 | Train Loss 1.4899 | Val Acc 0.2340 | Val loss 1.7491:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.5333 | Train Loss 1.4672 | Val Acc 0.2260 | Val loss 1.7645:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.4333 | Train Loss 1.5035 | Val Acc 0.2600 | Val loss 1.7347:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.5250 | Train Loss 1.4280 | Val Acc 0.2560 | Val loss 1.7392:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.5250 | Train Loss 1.4961 | Val Acc 0.2580 | Val loss 1.7380:  11%|█         | 22/200 [00:00<00:01, 106.96it/s]
Train Acc 0.5250 | Train Loss 1.4961 | Val Acc 0.2580 | Val loss 1.7380:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.4833 | Train Loss 1.4027 | Val Acc 0.2740 | Val loss 1.7237:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.5417 | Train Loss 1.4161 | Val Acc 0.2960 | Val loss 1.7080:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.5417 | Train Loss 1.3985 | Val Acc 0.2460 | Val loss 1.7340:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.5833 | Train Loss 1.3561 | Val Acc 0.2340 | Val loss 1.7516:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.5167 | Train Loss 1.4373 | Val Acc 0.2800 | Val loss 1.7138:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.5833 | Train Loss 1.3109 | Val Acc 0.2740 | Val loss 1.7165:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.5333 | Train Loss 1.3433 | Val Acc 0.2760 | Val loss 1.6825:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.5500 | Train Loss 1.3904 | Val Acc 0.3160 | Val loss 1.6972:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.6250 | Train Loss 1.2743 | Val Acc 0.2800 | Val loss 1.6995:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.5083 | Train Loss 1.3668 | Val Acc 0.3140 | Val loss 1.6879:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.5333 | Train Loss 1.3138 | Val Acc 0.2840 | Val loss 1.7045:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.5333 | Train Loss 1.3086 | Val Acc 0.3180 | Val loss 1.6898:  17%|█▋        | 34/200 [00:00<00:01, 109.01it/s]
Train Acc 0.5333 | Train Loss 1.3086 | Val Acc 0.3180 | Val loss 1.6898:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.5583 | Train Loss 1.2443 | Val Acc 0.3120 | Val loss 1.6948:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.5917 | Train Loss 1.2474 | Val Acc 0.3080 | Val loss 1.7168:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.5667 | Train Loss 1.2590 | Val Acc 0.3300 | Val loss 1.6666:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.5250 | Train Loss 1.2793 | Val Acc 0.3220 | Val loss 1.6686:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.6417 | Train Loss 1.2105 | Val Acc 0.3240 | Val loss 1.6666:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.6667 | Train Loss 1.1792 | Val Acc 0.2960 | Val loss 1.6750:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.6667 | Train Loss 1.1581 | Val Acc 0.3380 | Val loss 1.6285:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.6500 | Train Loss 1.1694 | Val Acc 0.3040 | Val loss 1.6924:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.5917 | Train Loss 1.2423 | Val Acc 0.3440 | Val loss 1.6545:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.6083 | Train Loss 1.1205 | Val Acc 0.3080 | Val loss 1.6691:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.6500 | Train Loss 1.1872 | Val Acc 0.3020 | Val loss 1.6409:  23%|██▎       | 46/200 [00:00<00:01, 109.27it/s]
Train Acc 0.6500 | Train Loss 1.1872 | Val Acc 0.3020 | Val loss 1.6409:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.5500 | Train Loss 1.2166 | Val Acc 0.3340 | Val loss 1.6547:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.6500 | Train Loss 1.0865 | Val Acc 0.3400 | Val loss 1.6476:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.7583 | Train Loss 1.0717 | Val Acc 0.3240 | Val loss 1.6643:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.7167 | Train Loss 1.0924 | Val Acc 0.3520 | Val loss 1.6325:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.6083 | Train Loss 1.1185 | Val Acc 0.3460 | Val loss 1.6409:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.6583 | Train Loss 1.1616 | Val Acc 0.3500 | Val loss 1.6224:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.6750 | Train Loss 1.0593 | Val Acc 0.3500 | Val loss 1.6599:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.7417 | Train Loss 1.0345 | Val Acc 0.3620 | Val loss 1.6339:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.6917 | Train Loss 1.0981 | Val Acc 0.2900 | Val loss 1.6730:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.7000 | Train Loss 1.0164 | Val Acc 0.3580 | Val loss 1.6458:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.7167 | Train Loss 1.0411 | Val Acc 0.3640 | Val loss 1.6372:  28%|██▊       | 57/200 [00:00<00:01, 109.00it/s]
Train Acc 0.7167 | Train Loss 1.0411 | Val Acc 0.3640 | Val loss 1.6372:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.7417 | Train Loss 0.9961 | Val Acc 0.3580 | Val loss 1.6324:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.6917 | Train Loss 1.0348 | Val Acc 0.3820 | Val loss 1.6017:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.6833 | Train Loss 1.0131 | Val Acc 0.3460 | Val loss 1.6313:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.6917 | Train Loss 1.0033 | Val Acc 0.3900 | Val loss 1.5957:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.6750 | Train Loss 0.9974 | Val Acc 0.3740 | Val loss 1.6189:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.7750 | Train Loss 0.9988 | Val Acc 0.3460 | Val loss 1.6713:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.7083 | Train Loss 1.0146 | Val Acc 0.3580 | Val loss 1.6387:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.7333 | Train Loss 0.9720 | Val Acc 0.3600 | Val loss 1.6212:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.6917 | Train Loss 1.0102 | Val Acc 0.3700 | Val loss 1.6122:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.7583 | Train Loss 0.9307 | Val Acc 0.3680 | Val loss 1.6175:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.7750 | Train Loss 0.9272 | Val Acc 0.3720 | Val loss 1.6049:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.6750 | Train Loss 1.0194 | Val Acc 0.3860 | Val loss 1.6095:  34%|███▍      | 68/200 [00:00<00:01, 109.11it/s]
Train Acc 0.6750 | Train Loss 1.0194 | Val Acc 0.3860 | Val loss 1.6095:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.7167 | Train Loss 0.9586 | Val Acc 0.3480 | Val loss 1.6339:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.8083 | Train Loss 0.8442 | Val Acc 0.3740 | Val loss 1.6125:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.7750 | Train Loss 0.9381 | Val Acc 0.3600 | Val loss 1.6415:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.7667 | Train Loss 0.9241 | Val Acc 0.3400 | Val loss 1.6874:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.7167 | Train Loss 0.9657 | Val Acc 0.4060 | Val loss 1.5927:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.7167 | Train Loss 0.9292 | Val Acc 0.3860 | Val loss 1.5881:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.7333 | Train Loss 0.8829 | Val Acc 0.3640 | Val loss 1.6225:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.7583 | Train Loss 0.8890 | Val Acc 0.3700 | Val loss 1.6218:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.7083 | Train Loss 0.8776 | Val Acc 0.3800 | Val loss 1.5761:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.7250 | Train Loss 0.9832 | Val Acc 0.3600 | Val loss 1.5960:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.7917 | Train Loss 0.7838 | Val Acc 0.4000 | Val loss 1.6126:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.8083 | Train Loss 0.8822 | Val Acc 0.3400 | Val loss 1.6394:  40%|████      | 80/200 [00:00<00:01, 109.92it/s]
Train Acc 0.8083 | Train Loss 0.8822 | Val Acc 0.3400 | Val loss 1.6394:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.7500 | Train Loss 0.9240 | Val Acc 0.4040 | Val loss 1.5730:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.7583 | Train Loss 0.8608 | Val Acc 0.4020 | Val loss 1.5398:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.7500 | Train Loss 0.8588 | Val Acc 0.4000 | Val loss 1.5688:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.8083 | Train Loss 0.7342 | Val Acc 0.3860 | Val loss 1.6004:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.8000 | Train Loss 0.7409 | Val Acc 0.4140 | Val loss 1.5492:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.7083 | Train Loss 0.8881 | Val Acc 0.4180 | Val loss 1.5335:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.7583 | Train Loss 0.8109 | Val Acc 0.4480 | Val loss 1.5272:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.8250 | Train Loss 0.7086 | Val Acc 0.4460 | Val loss 1.5131:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.8000 | Train Loss 0.7519 | Val Acc 0.4460 | Val loss 1.5090:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.8000 | Train Loss 0.7914 | Val Acc 0.4400 | Val loss 1.5233:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.7833 | Train Loss 0.7644 | Val Acc 0.4200 | Val loss 1.5259:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.7083 | Train Loss 0.9280 | Val Acc 0.3860 | Val loss 1.6141:  46%|████▌     | 92/200 [00:00<00:00, 110.82it/s]
Train Acc 0.7083 | Train Loss 0.9280 | Val Acc 0.3860 | Val loss 1.6141:  52%|█████▏    | 104/200 [00:00<00:00, 110.37it/s]
Train Acc 0.7750 | Train Loss 0.8193 | Val Acc 0.4280 | Val loss 1.6024:  52%|█████▏    | 104/200 [00:00<00:00, 110.37it/s]
Train Acc 0.7000 | Train Loss 0.8430 | Val Acc 0.3920 | Val loss 1.5875:  52%|█████▏    | 104/200 [00:00<00:00, 110.37it/s]
Train Acc 0.7333 | Train Loss 0.8806 | Val Acc 0.4140 | Val loss 1.5336:  52%|█████▏    | 104/200 [00:00<00:00, 110.37it/s]
Train Acc 0.7917 | Train Loss 0.7578 | Val Acc 0.4300 | Val loss 1.5553:  52%|█████▏    | 104/200 [00:00<00:00, 110.37it/s]
Train Acc 0.8083 | Train Loss 0.7526 | Val Acc 0.4080 | Val loss 1.5917:  52%|█████▏    | 104/200 [00:00<00:00, 110.37it/s]
Train Acc 0.7750 | Train Loss 0.7985 | Val Acc 0.4620 | Val loss 1.4975:  52%|█████▏    | 104/200 [00:01<00:00, 110.37it/s]
Train Acc 0.7167 | Train Loss 0.8512 | Val Acc 0.4220 | Val loss 1.5442:  52%|█████▏    | 104/200 [00:01<00:00, 110.37it/s]
Train Acc 0.7667 | Train Loss 0.7923 | Val Acc 0.4260 | Val loss 1.5438:  52%|█████▏    | 104/200 [00:01<00:00, 110.37it/s]
Train Acc 0.8333 | Train Loss 0.7066 | Val Acc 0.4220 | Val loss 1.5699:  52%|█████▏    | 104/200 [00:01<00:00, 110.37it/s]
Train Acc 0.7500 | Train Loss 0.8058 | Val Acc 0.4180 | Val loss 1.5719:  52%|█████▏    | 104/200 [00:01<00:00, 110.37it/s]
Train Acc 0.8250 | Train Loss 0.7498 | Val Acc 0.4140 | Val loss 1.5416:  52%|█████▏    | 104/200 [00:01<00:00, 110.37it/s]
